"" "probe.id" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1772391_at" "1772391_at" "YIL057C" 9.47765160656431e-14 1.03571776756535e-09 10.1114698121904 108.929580841473
"1774122_at" "1774122_at" "YOR388C" 4.27707852684935e-13 2.33699570707049e-09 8.47382734668662 89.8655010292237
"1774070_at" "1774070_at" "YMR303C" 9.93223652669301e-13 3.61798269212337e-09 8.99086613666265 80.6988116037962
"1776153_at" "1776153_at" "YMR206W" 2.24818946920248e-12 5.71704864462086e-09 7.3044488440205 72.702636395062
"1774072_at" "1774072_at" "YJR095W" 2.61577994354908e-12 5.71704864462086e-09 8.5775132585497 71.3096382839648
"1776304_at" "1776304_at" "YDR256C" 3.34761391678487e-12 5.88118438334062e-09 8.08140116381569 69.097260792234
"1770580_at" "1770580_at" "YCR010C" 3.89517513493639e-12 5.88118438334062e-09 8.44476895206649 67.7726869015597
"1774019_at" "1774019_at" "YMR175W" 4.54778685978224e-12 5.88118438334062e-09 8.92603719833694 66.4444595586969
"1776285_at" "1776285_at" "YOR348C" 4.84358157485959e-12 5.88118438334062e-09 4.89512160638895 65.9115946205271
"1776791_at" "1776791_at" "YGL205W" 8.11641706498448e-12 8.52153600575134e-09 6.05332255891755 61.7034949118276
"1776944_at" "1776944_at" "YGR289C" 8.57768082570138e-12 8.52153600575134e-09 4.34392230325285 61.2691003840128
"1775070_at" "1775070_at" "YPL201C" 1.21737912879521e-11 1.1086265932895e-08 7.33648434924977 58.5874476914331
"1769308_at" "1769308_at" "YKR009C" 1.66839291854666e-11 1.40247675491368e-08 4.31988374811842 56.2737013569149
"1777556_at" "1777556_at" "YIL155C" 2.43020568102883e-11 1.89694912016308e-08 4.48941720051187 53.6312357520284
"1775925_at" "1775925_at" "YIL136W" 3.43764208750946e-11 2.50443684882023e-08 4.70912712653633 51.3042400239227
"1774081_at" "1774081_at" "YOL126C" 3.8615447152756e-11 2.58651183507868e-08 4.8333088313147 50.5467306344133
"1770887_at" "1770887_at" "YKL187C" 4.09798550036095e-11 2.58651183507868e-08 5.25233428949607 50.1638945263315
"1774377_at" "1774377_at" "YML042W" 4.4880932894989e-11 2.58651183507868e-08 4.49059957193194 49.5836826308638
"1770767_at" "1770767_at" "YFL030W" 4.5157270652847e-11 2.58651183507868e-08 4.86980048208866 49.5447576313271
"1776680_at" "1776680_at" "YGR236C" 4.73373322671794e-11 2.58651183507868e-08 7.37791687861131 49.2467856990379
"1776576_at" "1776576_at" "YKL093W" 5.39241339722144e-11 2.8061092192779e-08 6.03089325401516 48.4326627618208
"1776778_at" "1776778_at" "YMR081C" 5.94580975161995e-11 2.9534458620774e-08 7.5751672842258 47.8309577050333
"1779019_at" "1779019_at" "YHL024W" 6.54636327655457e-11 3.01661380736929e-08 3.9278707391017 47.2455746522239
"1772813_at" "1772813_at" "YOL155C" 6.89321724006572e-11 3.01661380736929e-08 3.47555120028918 46.9344288731605
"1777569_at" "1777569_at" "YBR072W" 6.90111138215889e-11 3.01661380736929e-08 5.43924560477533 46.9275541876424
"1773061_s_at" "1773061_s_at" "YIL169C" 7.66181246180668e-11 3.12118533150446e-08 3.5522732089174 46.3036850959693
"1780148_at" "1780148_at" "YPL113C" 7.71156697937596e-11 3.12118533150446e-08 3.88102043904219 46.2653384001511
"1770587_at" "1770587_at" "YLR307C-A" 8.32641619786801e-11 3.24968129322506e-08 8.21058603708927 45.8132744277782
"1775340_at" "1775340_at" "YDL169C" 9.5671023337379e-11 3.54009225111156e-08 3.17030670731093 45.0058855396125
"1774129_at" "1774129_at" "YNL195C" 9.71840844924476e-11 3.54009225111156e-08 4.55580304146547 44.9155663622068
"1772229_at" "1772229_at" "YKL163W" 1.17355079820561e-10 3.95280376432559e-08 4.84206815672071 43.8439926985689
"1776434_at" "1776434_at" "YBL043W" 1.17614212739317e-10 3.95280376432559e-08 3.21254611951375 43.8316118291174
"1769460_at" "1769460_at" "YJL185C" 1.19365413820227e-10 3.95280376432559e-08 2.87106646649821 43.7487406257084
"1773457_at" "1773457_at" "YDL215C" 1.25852712408463e-10 3.99591557983565e-08 3.17500126946837 43.4532691844407
"1774960_at" "1774960_at" "YJL116C" 1.27980458724605e-10 3.99591557983565e-08 7.2795602225105 43.3600811072148
"1779660_at" "1779660_at" "YLR174W" 1.37230563433927e-10 4.15503155333113e-08 5.29749635661641 42.9743162723987
"1770682_at" "1770682_at" "YDR345C" 1.40680973163664e-10 4.15503155333113e-08 -4.00099276816099 -42.8378688643782
