"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1" "YAL054C" 3.50397754903567e-18 2.29230211257914e-14 6.82228825809177 67.8463825579939
"2" "YDR384C" 2.66540925525074e-17 7.1792728539618e-14 4.50945161074576 58.1518402125808
"3" "YDR345C" 4.38965017056668e-17 7.1792728539618e-14 -3.9913795492724 -55.9871264088082
"4" "YDR256C" 3.51453611572819e-17 7.1792728539618e-14 5.3109829847663 56.9418179351252
"5" "YKR009C" 8.93884059306066e-17 1.16955790319606e-13 5.26403197506644 53.038906155304
"6" "YIL155C" 3.12750864130591e-16 2.92593944303466e-13 4.79843883714168 48.216115492919
"7" "YIL136W" 3.13078203932171e-16 2.92593944303466e-13 4.99844269751842 48.2122744833439
"8" "YBR067C" 1.15162349380727e-15 8.66107089577923e-13 6.44194088451125 43.657205878031
"9" "YKL187C" 1.3435937739412e-15 8.78979046912334e-13 4.64914754995449 43.1469904485654
"10" "YMR303C" 1.94541684031716e-15 1.15699245175953e-12 4.00644404174442 41.9460100102431
"11" "YKL217W" 1.19152610917171e-15 8.66107089577923e-13 8.56399292993261 43.543972930633
"12" "YLR174W" 2.13950466803724e-15 1.16638662819163e-12 5.39898484084896 41.6428008812535
"13" "YOL155C" 2.66129340856197e-15 1.29144000765028e-12 3.03757618159486 40.9551194399721
"14" "YER015W" 3.59040621954112e-15 1.5658958325492e-12 4.30074755487908 40.0297029764539
"15" "YBR072W" 5.79686968136112e-15 2.37019509096653e-12 7.47064187868536 38.5919004055397
"16" "YGL205W" 2.76370530527423e-15 1.29144000765028e-12 7.00037155929311 40.8372762941116
"17" "YJL116C" 7.78179677732377e-15 2.99461850101483e-12 4.31575151438162 37.73343782132
"18" "YEL040W" 9.04731692247007e-15 3.11513406877891e-12 -3.54143274570394 -37.3014477753136
"19" "YGR289C" 8.95500487551773e-15 3.11513406877891e-12 4.12839598764422 37.3306951570989
"20" "YPL147W" 1.06875258051422e-14 3.31287894790608e-12 4.03469027755381 36.8294486086709
"21" "YDL215C" 1.09671426566613e-14 3.31287894790608e-12 2.88148485753752 36.7568097563905
