"sidChar"	"sidNum"	"devStage"	"gType"	"gExp"	"gene"
"12"	"Sample_20"	20	"E16"	"wt"	7.938	"1438786_a_at"
"13"	"Sample_21"	21	"E16"	"wt"	8.986	"1438786_a_at"
"14"	"Sample_22"	22	"E16"	"wt"	8.55	"1438786_a_at"
"15"	"Sample_23"	23	"E16"	"wt"	8.617	"1438786_a_at"
"9"	"Sample_16"	16	"E16"	"NrlKO"	5.721	"1438786_a_at"
"10"	"Sample_17"	17	"E16"	"NrlKO"	9.104	"1438786_a_at"
"11"	"Sample_6"	6	"E16"	"NrlKO"	9.042	"1438786_a_at"
"28"	"Sample_24"	24	"P2"	"wt"	6.712	"1438786_a_at"
"29"	"Sample_25"	25	"P2"	"wt"	7.76	"1438786_a_at"
"30"	"Sample_26"	26	"P2"	"wt"	6.343	"1438786_a_at"
"31"	"Sample_27"	27	"P2"	"wt"	7.475	"1438786_a_at"
"24"	"Sample_14"	14	"P2"	"NrlKO"	7.248	"1438786_a_at"
"25"	"Sample_3"	3	"P2"	"NrlKO"	6.902	"1438786_a_at"
"26"	"Sample_5"	5	"P2"	"NrlKO"	6.826	"1438786_a_at"
"27"	"Sample_8"	8	"P2"	"NrlKO"	6.329	"1438786_a_at"
"36"	"Sample_28"	28	"P6"	"wt"	7.569	"1438786_a_at"
"37"	"Sample_29"	29	"P6"	"wt"	8.388	"1438786_a_at"
"38"	"Sample_30"	30	"P6"	"wt"	9.176	"1438786_a_at"
"39"	"Sample_31"	31	"P6"	"wt"	8.531	"1438786_a_at"
"32"	"Sample_1"	1	"P6"	"NrlKO"	7.258	"1438786_a_at"
"33"	"Sample_10"	10	"P6"	"NrlKO"	7.692	"1438786_a_at"
"34"	"Sample_4"	4	"P6"	"NrlKO"	7.398	"1438786_a_at"
"35"	"Sample_7"	7	"P6"	"NrlKO"	6.211	"1438786_a_at"
"20"	"Sample_32"	32	"P10"	"wt"	8.528	"1438786_a_at"
"21"	"Sample_33"	33	"P10"	"wt"	6.269	"1438786_a_at"
"22"	"Sample_34"	34	"P10"	"wt"	6.165	"1438786_a_at"
"23"	"Sample_35"	35	"P10"	"wt"	8.324	"1438786_a_at"
"16"	"Sample_13"	13	"P10"	"NrlKO"	6.537	"1438786_a_at"
"17"	"Sample_15"	15	"P10"	"NrlKO"	6.696	"1438786_a_at"
"18"	"Sample_18"	18	"P10"	"NrlKO"	7.299	"1438786_a_at"
"19"	"Sample_19"	19	"P10"	"NrlKO"	6.524	"1438786_a_at"
"5"	"Sample_36"	36	"4_weeks"	"wt"	9.18	"1438786_a_at"
"6"	"Sample_37"	37	"4_weeks"	"wt"	8.212	"1438786_a_at"
"7"	"Sample_38"	38	"4_weeks"	"wt"	8.389	"1438786_a_at"
"8"	"Sample_39"	39	"4_weeks"	"wt"	8.634	"1438786_a_at"
"1"	"Sample_11"	11	"4_weeks"	"NrlKO"	8.633	"1438786_a_at"
"2"	"Sample_12"	12	"4_weeks"	"NrlKO"	7.472	"1438786_a_at"
"3"	"Sample_2"	2	"4_weeks"	"NrlKO"	8.157	"1438786_a_at"
"4"	"Sample_9"	9	"4_weeks"	"NrlKO"	8.294	"1438786_a_at"
